date,rMSSD,HR,test_duration,HRV4T_Recovery_Points,daily_message
2026-07-09 00:01:00 +0000,24.72,58.77,1,6.99,-
2026-07-10 00:01:00 +0000,33.03,57.94,1,7.35,-
2026-07-20 00:01:00 +0000,40.12,66.11,1,7.61,-
2026-07-22 00:01:00 +0000,17.91,56.40,1,6.63,Your HRV is below your normal range. However  your subjective scores are trending positively: Limit intensity today
2026-07-26 00:01:00 +0000,24.72,56.86,1,6.99,Your HRV is within your normal range and your subjective scores are trending positively: Proceed as planned
2026-07-27 00:01:00 +0000,70.53,51.70,1,8.45,Your subjective scores are trending positively but your HRV is unusually high: Take it easy today
2026-07-28 00:01:00 +0000,32.78,52.05,1,7.34,Your HRV is within your normal range and your subjective scores are trending positively: Proceed as planned
2026-07-29 00:01:00 +0000,29.52,54.09,1,7.21,Your HRV is within your normal range and your subjective scores are trending positively: Proceed as planned
2026-07-30 00:01:00 +0000,19.38,52.94,1,6.71,Your HRV is below your normal range. However  your subjective scores are trending positively: Limit intensity today
2026-07-31 00:01:00 +0000,22.46,57.67,1,6.88,Your HRV is within your normal range and your subjective scores are trending positively: Proceed as planned
2026-08-01 00:01:00 +0000,19.44,56.71,1,6.72,Your HRV is within your normal range and your subjective scores are trending positively: Proceed as planned
2026-08-02 00:01:00 +0000,28.92,61.09,1,7.18,Your HRV is within your normal range and your subjective scores are trending positively: Proceed as planned
2026-08-04 00:01:00 +0000,36.41,52.48,1,7.48,Your HRV is within your normal range and your subjective scores are trending positively: Proceed as planned
2026-08-05 00:01:00 +0000,28.27,54.58,1,7.15,Your HRV is within your normal range and your subjective scores are trending positively: Proceed as planned
2026-08-06 00:01:00 +0000,20.67,58.79,1,6.78,Your HRV is within your normal range and your subjective scores are trending positively: Proceed as planned
2026-08-07 00:01:00 +0000,16.43,57.59,1,6.54,Your HRV is below your normal range. However  your subjective scores are trending positively: Limit intensity today
2026-08-08 00:01:00 +0000,27.18,59.16,1,7.10,Your HRV is within your normal range and your subjective scores are trending positively: Proceed as planned
2026-08-09 00:01:00 +0000,25.29,56.70,1,7.02,Your HRV is within your normal range and your subjective scores are trending positively: Proceed as planned
2026-08-10 00:01:00 +0000,30.19,55.03,1,7.23,Your HRV is within your normal range and your subjective scores are trending positively: Proceed as planned
2026-08-11 00:01:00 +0000,19.19,54.07,1,6.70,Your HRV is within your normal range and your subjective scores are trending positively: Proceed as planned
2026-08-12 00:01:00 +0000,24.41,54.24,1,6.97,Your HRV is within your normal range and your subjective scores are trending positively: Proceed as planned
2026-08-13 00:01:00 +0000,14.04,57.43,1,6.39,Your HRV is below your normal range. However  your subjective scores are trending positively: Limit intensity today
2026-08-14 00:01:00 +0000,27.97,58.40,1,7.14,Your HRV is within your normal range and your subjective scores are trending positively: Proceed as planned
2026-08-15 00:01:00 +0000,25.17,56.57,1,7.01,Your HRV is within your normal range and your subjective scores are trending positively: Proceed as planned
2026-08-16 00:01:00 +0000,18.21,56.34,1,6.65,Your HRV is within your normal range and your subjective scores are trending positively: Proceed as planned
2026-08-18 00:01:00 +0000,25.15,53.01,1,7.01,Your HRV is within your normal range and your subjective scores are trending positively: Proceed as planned
2026-08-19 00:01:00 +0000,27.74,55.22,1,7.13,Your HRV is within your normal range and your subjective scores are trending positively: Proceed as planned
2026-08-21 00:01:00 +0000,40.72,58.35,1,7.63,Your HRV is slightly above your normal range and your subjective scores are trending positively: Proceed as planned
2026-08-25 00:01:00 +0000,27.00,52.05,1,7.10,Your HRV is within your normal range and your subjective scores are trending positively: Proceed as planned
2026-08-26 00:01:00 +0000,25.69,55.40,1,7.04,Your HRV is within your normal range and your subjective scores are trending positively: Proceed as planned
2026-08-27 00:01:00 +0000,31.25,57.28,1,7.28,Your HRV is within your normal range and your subjective scores are trending positively: Proceed as planned
2026-08-31 00:01:00 +0000,65.32,52.08,1,8.33,Your subjective scores are trending positively but your HRV is unusually high: Take it easy today
2026-09-01 00:01:00 +0000,23.59,54.37,1,6.93,Your HRV is within your normal range and your subjective scores are trending positively: Proceed as planned
2026-09-02 00:01:00 +0000,24.77,55.82,1,6.99,Your HRV is within your normal range and your subjective scores are trending positively: Proceed as planned
2026-09-09 00:01:00 +0000,26.64,50.25,1,7.08,Your HRV is within your normal range and your subjective scores are trending positively: Proceed as planned
2026-09-10 00:01:00 +0000,22.65,58.13,1,6.89,Your HRV is within your normal range and your subjective scores are trending positively: Proceed as planned
2026-09-15 00:01:00 +0000,58.22,50.65,1,8.15,Your subjective scores are trending positively but your HRV is unusually high: Take it easy today
2026-09-17 00:01:00 +0000,26.18,54.95,1,7.06,Your HRV is within your normal range and your subjective scores are trending positively: Proceed as planned
2026-09-22 00:01:00 +0000,46.62,54.49,1,7.83,Your HRV is above your normal range and your subjective scores are trending positively: Proceed as planned
2026-09-23 00:01:00 +0000,41.50,55.14,1,7.66,Your HRV is slightly above your normal range and your subjective scores are trending positively: Proceed as planned
2026-09-24 00:01:00 +0000,34.22,60.04,1,7.40,Your HRV is within your normal range and your subjective scores are trending positively: Proceed as planned
